Time;path_cost
0.05;inf
0.1;inf
0.15;61550.5
0.2;61550.5
0.25;52027.42
0.3;50969.299999999996
0.35;50969.299999999996
0.4;50969.299999999996
0.45;50097.29000000001
0.5;50000.40000000001
0.55;50000.40000000001
0.6;50000.40000000001
0.65;50000.40000000001
0.7;50000.40000000001
0.75;50000.40000000001
0.8;50000.40000000001
0.85;49759.26000000001
0.9;49397.55000000001
0.95;48915.270000000004
1.0;48794.700000000004
1.05;48527.05
1.1;48366.46000000001
1.15;48366.46000000001
1.2;48244.880000000005
1.25;48230.36
1.3;48220.68
1.35;48215.840000000004
1.4;48152.08
1.45;48122.62000000001
1.5;48093.16000000001
1.55;48078.43000000001
1.6;48078.43000000001
1.65;48063.700000000004
1.7;48078.43000000001
1.75;48063.700000000004
1.8;48063.700000000004
1.85;48060.90000000001
1.9;48055.3
1.95;48046.90000000001
2.0;48044.100000000006
2.05;48035.77777777778
2.1;48032.74444444444
2.15;48031.73333333333
2.2;48030.72222222222
2.25;48030.72222222222
2.3;48027.6111111111
2.35;48027.6111111111
2.4;48027.6111111111
2.45;48027.6111111111
2.5;48026.277777777774
